Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,PreferredDayOfWeek,PreferredHour,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,NegativeQuantityCount,ZeroPriceCount,ReturnRatio,TotalTransactions,AvgLinesPerInvoice,SupportTicketsCount,SatisfactionScore,SpendingCategory,PreferredTimeOfDay,Region,WeekendPreference,BasketSizeCategory,ProductDiversity,Gender,AccountStatus,Churn,RegMonth,RegWeekday,RegIsWeekend,AccountAgeDays,RegSeason,IsNewClient,AvgBasketValue,CancellationRate,SpendingVolatility,EngagementScore,ProductsPerTransaction
35,5288.630000000001,16.950737179487184,13.603661689116102,-30.6,107.25,1693,5.426282051282051,-12,12,3,9,0.0,0.2218649517684887,24,25,0.6857142857142857,15,0,0.048076923076923,312,8.914285714285715,1.0,4.0,VIP,Matin,UK,Inconnu,Moyen,Explorateur,Unknown,Active,1,7,5,1,531,été,0,146.90638888888893,0.04792332268370607,0.7578330378911341,2.0,0.07667731629392971
18,3079.1,15.70969387755102,11.6847688239824,-15.0,68.0,1355,6.913265306122449,-3,32,2,13,0.1683673469387755,1.7179487179487178,106,106,5.888888888888889,24,0,0.1224489795918367,196,10.88888888888889,3.0,4.0,VIP,Midi,UK,Semaine,Moyen,Explorateur,M,Active,0,10,0,0,452,automne,0,162.0578947368421,0.1218274111675127,0.6992808431805291,1.0,0.5380710659898477
18,7187.34,28.634820717131475,23.15013187581723,-60.84,132.8,5009,19.95617529880478,-36,360,4,12,0.0557768924302788,1.456,115,117,6.388888888888889,4,0,0.0159362549800796,251,13.944444444444445,2.0,5.0,VIP,Midi,Europe continentale,Semaine,Grand,Explorateur,Unknown,Active,0,9,5,1,839,automne,0,378.281052631579,0.015873015873015872,0.7811800886797491,1.6666666666666667,0.45634920634920634
5,948.25,33.86607142857142,42.95311926234322,9.36,204.0,439,15.678571428571429,1,80,0,9,0.0,10.25925925925926,24,24,4.8,0,0,0.0,28,5.6,2.0,2.0,High,Matin,UK,Inconnu,Grand,Explorateur,Unknown,Active,1,1,3,0,701,hiver,0,158.04166666666666,0.0,1.2319460582285382,0.6666666666666666,0.8275862068965517
6,635.1,105.85,215.9862634521001,-131.39999999999998,350.4,58,9.666666666666666,-12,32,2,9,0.0,8.2,1,1,0.1666666666666666,3,0,0.5,6,1.0,2.0,1.0,High,Matin,UK,Inconnu,Moyen,Spécialisé,M,Active,1,12,3,0,750,hiver,0,90.72857142857143,0.42857142857142855,2.0213969438661685,0.3333333333333333,0.14285714285714285
20,4596.51,42.16981651376147,49.09086065619568,-35.49,243.36,2074,19.027522935779817,-21,144,2,16,0.1651376146788991,3.1481481481481484,63,63,3.15,6,0,0.055045871559633,109,5.45,2.0,5.0,VIP,Après-midi,UK,Semaine,Grand,Explorateur,M,Active,0,10,0,0,438,automne,0,218.8814285714286,0.05454545454545454,1.1371570374997246,1.6666666666666667,0.5727272727272728
27,5107.38,14.226685236768802,23.64446978200517,-72.15,153.0,3222,8.974930362116991,-39,120,1,12,0.0,0.9972067039106144,148,151,5.481481481481482,32,0,0.0891364902506963,359,13.296296296296296,3.0,2.0,VIP,Midi,UK,Inconnu,Moyen,Explorateur,Unknown,Active,0,11,1,0,423,automne,0,182.40642857142856,0.08888888888888889,1.5528310603616757,0.5,0.4111111111111111
15,4627.62,72.3065625,142.20644033836976,-717.23,425.0,2015,31.484375,-40,144,4,15,0.0,5.587301587301587,47,49,3.1333333333333333,3,0,0.046875,64,4.266666666666667,2.0,2.0,VIP,Après-midi,UK,Inconnu,Grand,Explorateur,F,Active,0,12,4,0,378,hiver,0,289.22625,0.046153846153846156,1.9398869008265087,0.6666666666666666,0.7230769230769231
118,59419.34,23.85360899237254,46.625077317700935,-275.0,408.0,37720,15.14251304696909,-100,288,1,13,0.0397430750702529,0.1285140562248996,571,580,4.838983050847458,112,0,0.0449618627057406,2491,21.110169491525426,1.0,3.0,VIP,Midi,UK,Semaine,Grand,Explorateur,M,Active,0,9,3,0,463,automne,0,499.32218487394954,0.0449438202247191,1.8759882048522596,1.5,0.22913322632423755
86,7711.38,7.627477744807122,9.759291387411546,-80.0,87.6,2049,2.026706231454006,-2,36,2,12,0.049455984174085,0.3336633663366337,331,338,3.8488372093023258,39,0,0.0385756676557863,1011,11.755813953488373,2.0,1.0,VIP,Midi,UK,Semaine,Petit,Explorateur,M,Active,0,9,5,1,482,automne,0,88.63655172413793,0.038537549407114624,1.131187083419098,0.3333333333333333,0.32707509881422925
